Query,Page,Language,Query in Labels,Query in text,All keywords in Labels,All keywords in text
La Rovtte et deffaitte dv camp,portal,en,[],[],[],[]
Addis Abeba,portal,it,[],[],[],[Agent]
Absolwenci uniwersytetu,portal,en,[],[],[],[]
Adam Frans van der Meulen,portal,es,[Agent],[Agent],[Agent],[Agent]
juan de goyeneche,portal,es,[],[],[],[]
akkadische,portal,en,[],[],[],[]
luciano albertini,newspapers,de,[],[],[],[]
albert ballin,portal,de,[],[],[],[]
Ability,portal,en,[],[],[],[Agent]
a gun for dinosaur,portal,en,[],[],[],[]
Patria Giornale dell'idea liberale,portal,it,[],[],[],[]
francisco franco,portal,es,[],[],[],[Agent]
ahnenprobe,portal,cs,[],[],[],[]
afisze,art,pl,[],[],[],[]
L'assassinat de Mickey Mouse de Pierre Pigot,portal,fr,[],[],[],[]
alaia,fashion,en,[],[],[Agent],[Agent]
Research,portal,en,[],[],"[Agent, Organization]","[Agent, Organization]"
calvin blanchard,portal,en,[],[],[],[]
africa overo barbaria,portal,ro,[],[],[],[]
wiener kurier,portal,de,[],[],[],[]
santa lucia,portal,it,[],[],[Place],[Place]
St Mathurin,portal,en,[],[],[],[]
Actos de Cortes del Reyno de Aragon,portal,es,[],[],[],[]
abechuco,portal,es,[],[],[],[]
Albert Renger,portal,it,[],[],[],[Agent]
agria,portal,hu,[Place],[Place],"[Agent, Place]","[Agent, Place]"
new york building,portal,sv,[],[],[],[]
actionnaire,art,en,[],[],[],[Agent]
adulthood,portal,en,[],[],[],[Agent]
acrobaat,portal,fr,[],[],[],[Agent]
africa,portal,en,[],[],"[Concept, Agent, Organization, Place]","[Concept, Agent, Organization, Place]"
alaska,portal,en,[Agent],[Agent],[Agent],[Agent]
acne,portal,en,[],[],[Agent],[Agent]
Felix fernandez,portal,es,[],[],[],[]
la eliana,portal,es,[Place],[Place],[Place],[Place]
divisa,portal,it,[],[],[],[Agent]
Rafael Tejeo,portal,es,[Agent],[Agent],[Agent],[Agent]
Alava,portal,es,[Place],[Place],"[Agent, Place]","[Agent, Place]"
